,elephant,dolphin,panda,lion,kangaroo,penguin,giraffe,chimpanzee,koala,orangutan
075,-1.5,-1.25,-6.0,-5.25,-7.0,-3.75,-2.25,-7.0,-6.75,-8.75
076,-1.75,-1.25,-5.75,-6.0,-5.75,-3.5,-2.0,-7.0,-5.75,-9.25
077,-1.75,-1.5,-5.5,-4.75,-6.25,-4.25,-1.5,-6.75,-6.75,-9.25
078,-1.25,-1.25,-6.25,-5.75,-7.25,-4.5,-3.25,-8.0,-7.25,-8.75
079,-1.25,-2.0,-5.0,-4.75,-6.0,-3.75,-1.5,-7.0,-6.0,-8.75
080,-1.5,-3.75,-8.0,-7.0,-9.0,-5.75,-4.75,-8.75,-8.0,-8.75
081,-0.75,-3.5,-7.75,-7.0,-8.0,-5.5,-4.5,-9.0,-8.75,-9.0
082,-0.75,-3.0,-7.25,-6.75,-7.25,-4.5,-4.0,-8.5,-7.25,-8.5
083,-1.25,-2.75,-6.75,-7.5,-7.0,-4.75,-4.75,-8.5,-7.75,-8.0
084,-1.0,-2.5,-6.25,-7.25,-7.75,-3.75,-3.75,-8.75,-7.0,-7.75
085,-1.5,-2.75,-6.75,-7.25,-7.75,-4.75,-3.75,-8.5,-8.0,-8.25
086,-1.0,-3.5,-5.0,-7.75,-5.5,-4.75,-3.25,-8.0,-6.25,-8.0
087,-1.25,-2.75,-7.0,-7.5,-7.5,-4.75,-3.75,-8.5,-8.0,-8.75
088,-1.25,-3.0,-7.0,-8.25,-7.75,-5.25,-4.75,-9.0,-8.25,-8.5
089,-1.25,-3.5,-6.25,-7.25,-6.5,-4.25,-3.75,-8.5,-7.0,-8.0
090,-1.0,-2.5,-5.0,-6.5,-6.25,-3.75,-1.75,-6.75,-6.25,-8.0
091,-0.5,-2.5,-4.5,-6.75,-5.5,-3.5,-1.75,-7.0,-6.25,-8.0
092,-0.75,-2.0,-4.25,-6.75,-4.25,-3.0,-1.75,-7.0,-5.0,-7.75
093,-0.75,-2.5,-4.25,-6.5,-4.75,-3.0,-2.0,-6.25,-6.0,-7.5
094,-1.25,-2.25,-4.5,-6.75,-5.5,-3.0,-1.25,-7.25,-5.25,-7.5
095,-1.75,-2.5,-4.75,-6.75,-6.0,-3.25,-1.25,-6.5,-6.0,-8.25
096,-1.0,-2.25,-5.25,-8.0,-4.0,-3.0,-1.75,-6.0,-4.0,-7.5
097,-2.0,-2.5,-4.75,-6.0,-5.25,-4.0,-0.75,-6.75,-5.75,-8.25
098,-1.5,-2.75,-4.75,-7.25,-5.25,-3.0,-2.75,-7.0,-5.0,-8.0
099,-1.75,-2.25,-4.25,-6.5,-5.0,-3.5,-1.5,-6.0,-5.25,-8.5
100,-0.75,-3.625,-5.875,-4.625,-6.875,-6.125,-1.75,-6.375,-3.75,-8.625
101,-0.5,-2.5,-6.75,-5.75,-6.75,-5.5,-3.0,-7.0,-6.25,-9.25
102,-0.75,-1.25,-5.75,-5.75,-4.0,-3.5,-3.25,-7.0,-4.25,-8.25
103,-0.5,-2.5,-5.5,-5.0,-4.75,-3.75,-2.5,-6.75,-4.75,-8.25
104,-0.75,-2.25,-5.0,-5.25,-6.0,-3.0,-1.75,-7.5,-4.25,-8.5
105,-1.25,-2.5,-6.25,-5.5,-6.75,-3.5,-1.75,-5.0,-7.25,-6.5
106,-0.75,-3.0,-6.0,-5.75,-4.5,-3.5,-2.25,-6.75,-4.25,-8.0
